Brain - Cortex;Brain - Cerebellum;Brain - Frontal Cortex (BA9);Brain - Caudate (basal ganglia);Brain - Nucleus accumbens (basal ganglia);Brain - Putamen (basal ganglia);Brain - Hypothalamus;Brain - Spinal cord (cervical c-1);Brain - Hippocampus;Brain - Anterior cingulate cortex (BA24);Brain - Cerebellar Hemisphere;Brain - Substantia nigra;Brain - Amygdala
221;439;234;94;95;50;132;260;49;74;422;105;35
231;450;239;88;91;41;124;235;59;88;448;101;43
241;437;234;92;83;50;135;250;44;88;422;107;44
255;440;262;96;88;47;126;237;56;86;421;102;45
244;468;236;86;84;42;121;225;54;70;448;89;39
222;447;237;90;88;40;124;243;49;85;436;97;38
245;449;250;93;90;44;111;237;52;94;436;95;43
239;443;224;96;95;50;126;250;54;80;435;103;43
242;438;247;87;101;44;130;233;46;86;428;93;41
217;454;228;86;90;48;130;240;49;73;443;99;33
250;437;258;91;85;48;114;232;46;92;428;103;45
245;447;240;81;82;42;126;242;53;69;430;107;45
244;464;234;83;75;40;124;243;46;82;451;86;43
266;431;245;105;93;59;122;229;47;99;421;92;49
226;447;242;95;82;40;121;244;54;83;442;103;39
231;458;239;84;78;34;125;239;49;77;443;94;35
241;449;244;92;84;47;111;234;54;76;434;106;50
252;463;231;85;79;41;112;242;63;82;451;86;42
243;448;234;97;81;50;115;243;55;77;438;99;50
239;435;251;90;92;41;126;246;51;72;421;101;34
218;448;233;99;100;49;120;239;48;70;441;100;35
231;452;242;94;88;45;135;244;53;85;430;104;45
237;464;250;86;76;39;120;241;51;76;457;100;40
243;433;244;83;88;45;138;231;51;78;424;106;36
235;450;242;76;81;42;129;260;50;81;442;104;39
238;451;242;94;99;45;112;244;45;86;432;99;41
242;450;245;85;77;39;108;241;43;77;443;102;41
216;448;241;92;85;43;137;267;53;73;444;99;46
229;462;246;81;89;40;109;232;49;82;453;96;40
246;457;233;90;80;48;123;241;48;80;438;109;34
229;455;231;91;88;41;132;237;53;79;445;103;39
253;453;231;90;83;48;105;241;48;78;449;101;40
236;460;229;91;91;51;109;240;43;71;449;87;36
235;464;249;80;67;40;115;245;45;73;453;93;36
225;446;234;85;78;37;124;246;62;74;431;100;34
242;461;246;90;79;44;119;226;45;82;448;86;39
229;455;242;81;85;43;127;246;56;78;448;107;45
231;440;253;81;79;36;127;252;46;73;438;102;30
242;443;239;98;95;49;121;225;50;98;426;98;37
238;434;246;103;106;49;123;259;51;100;423;93;46
219;462;234;91;91;44;123;218;51;73;449;95;39
256;450;247;93;79;52;117;249;59;81;440;101;40
229;448;248;87;82;36;133;247;47;86;439;105;40
254;440;260;92;91;51;140;257;54;94;420;104;47
233;443;243;91;88;43;112;245;52;79;435;106;47
253;441;225;107;93;47;124;242;49;82;424;96;47
226;451;237;83;78;42;131;269;48;75;442;95;39
236;445;241;98;80;49;124;246;52;81;436;105;39
245;451;252;86;83;49;112;257;47;77;441;88;35
235;469;240;85;88;42;112;249;49;77;453;99;28
249;466;252;84;84;36;114;230;46;84;450;81;31
235;458;228;95;87;52;113;213;48;78;446;96;42
246;467;233;95;86;44;103;224;55;90;445;88;42
224;463;242;92;86;51;118;242;50;80;446;95;41
241;454;233;88;84;46;116;242;48;64;450;86;35
225;459;226;90;82;47;113;226;42;76;447;83;40
236;455;238;84;80;48;128;251;49;82;431;98;43
240;463;238;83;87;36;122;242;45;73;447;95;40
233;454;230;90;91;41;142;256;57;80;442;107;37
241;450;238;88;98;41;117;262;51;83;437;90;40
219;440;229;97;91;39;118;251;46;76;432;97;35
228;440;236;96;70;47;122;249;54;80;439;109;41
240;456;244;82;82;40;126;241;57;83;451;89;38
248;456;232;93;88;52;113;243;67;91;446;98;45
236;461;236;78;79;38;117;230;45;80;450;89;40
255;442;243;88;78;45;120;251;52;73;438;92;39
237;441;249;87;82;49;108;252;51;88;429;111;42
244;450;251;83;88;38;133;234;53;90;445;87;41
227;462;237;89;90;43;117;242;51;79;452;95;31
237;452;232;96;97;44;115;229;42;90;443;86;45
233;428;239;102;97;49;126;260;56;98;409;109;49
247;435;234;107;96;48;129;242;52;81;423;106;43
249;450;265;83;91;43;110;232;54;97;443;77;45
252;455;252;82;78;35;122;230;62;85;447;92;36
237;445;245;81;86;48;129;235;52;87;427;99;42
225;439;245;101;92;45;140;245;59;74;431;106;34
248;458;246;94;94;45;120;238;53;83;446;92;41
240;440;238;94;91;39;132;253;44;83;426;101;39
232;469;246;92;84;50;114;249;49;75;451;95;36
243;459;249;94;91;43;117;244;46;78;457;91;37
239;444;231;95;84;45;132;250;55;85;436;96;42
243;447;239;84;81;43;119;256;52;87;441;100;40
237;460;247;87;81;41;120;252;44;80;447;96;36
236;434;224;109;102;56;123;251;55;91;420;99;45
253;458;242;98;80;45;122;233;50;87;447;91;41
235;450;241;96;87;42;117;250;42;72;436;84;31
236;451;241;89;93;50;128;244;46;95;435;95;47
246;446;252;93;83;45;129;250;59;85;433;104;44
247;454;231;100;86;47;133;236;49;83;450;94;44
240;457;218;88;83;41;127;242;43;70;437;100;24
242;434;246;96;89;49;129;251;64;93;415;112;45
238;444;244;102;85;50;123;242;53;87;434;95;46
245;458;235;87;86;42;119;237;55;87;438;96;46
242;450;251;85;74;46;101;248;45;87;438;103;40
235;437;236;100;89;48;133;260;49;84;425;110;35
234;451;250;88;84;45;115;246;49;85;445;100;41
243;465;246;83;79;38;115;244;46;78;458;85;29
238;461;250;88;84;45;107;244;47;80;445;90;41
233;441;233;92;89;47;126;264;53;85;429;107;41
238;448;243;89;90;43;112;236;49;88;439;83;49
252;451;252;86;83;37;126;248;61;84;441;96;40
229;440;253;94;86;50;139;254;54;80;436;104;43
231;440;245;89;86;45;121;240;52;75;436;101;38
242;440;247;88;85;48;121;247;55;84;434;105;45
238;447;243;104;90;52;123;236;54;80;435;100;46
246;472;250;83;75;39;116;241;52;75;465;82;38
240;451;245;93;92;49;126;248;56;89;445;87;43
248;439;248;88;84;43;128;249;54;91;423;98;38
244;455;250;83;70;41;127;244;44;87;443;95;39
241;442;243;90;93;46;124;235;54;82;433;95;46
245;447;257;89;92;48;124;243;57;92;436;86;43
243;462;250;88;82;41;117;249;47;80;460;100;34
245;443;228;99;91;44;115;251;55;82;433;93;47
236;442;230;105;94;47;116;249;56;85;433;113;43
224;466;239;80;74;32;108;249;48;78;452;89;41
242;469;238;89;80;42;115;253;51;73;453;81;43
225;460;236;88;89;39;118;252;45;84;443;88;43
233;433;240;96;82;41;122;251;56;82;423;102;49
215;434;231;92;82;48;114;266;48;75;425;114;33
212;459;232;82;76;38;112;244;45;74;442;98;35
233;466;242;69;74;38;112;235;48;78;456;96;34
245;452;261;90;86;38;128;234;46;89;445;93;34
234;450;245;85;75;33;136;257;62;76;436;106;42
237;462;250;86;87;41;127;231;46;87;455;88;38
239;456;249;84;83;47;113;244;46;75;442;97;42
222;440;234;101;87;50;116;254;46;73;432;100;34
240;445;255;101;83;53;127;239;41;86;431;97;35
263;462;261;87;83;36;121;231;50;85;446;94;38
249;461;243;86;85;40;120;242;49;79;450;94;32
228;437;235;99;83;59;122;251;55;70;430;110;31
223;466;238;68;69;34;119;248;51;76;455;93;38
239;444;243;86;77;42;126;232;50;78;440;101;36
235;449;240;88;74;50;130;243;57;87;437;101;48
243;465;235;91;81;47;119;244;45;80;451;92;36
230;460;236;98;93;55;115;225;41;78;443;85;42
240;445;237;83;76;38;125;243;52;88;436;92;47
256;452;248;90;78;41;119;237;53;83;439;103;46
253;436;250;80;84;41;134;236;55;81;422;93;30
241;461;241;94;84;43;117;243;51;90;442;88;37
247;438;250;90;82;50;116;252;61;89;424;104;46
239;440;239;89;84;37;121;255;52;83;429;95;35
237;447;235;91;85;48;120;257;53;81;436;104;38
243;452;221;93;75;39;127;244;56;83;438;104;39
253;462;241;76;87;33;107;247;51;81;465;91;37
214;453;241;94;87;37;130;234;55;80;445;100;36
252;453;263;86;94;45;127;228;53;99;436;85;50
236;453;240;92;83;48;116;246;45;88;437;93;34
244;447;229;93;86;47;132;247;50;84;437;97;42
242;449;248;76;68;34;124;237;52;72;437;107;38
252;460;261;91;90;53;111;222;52;80;448;89;39
228;472;225;98;88;44;121;246;44;71;459;100;34
238;454;225;88;95;45;117;247;53;79;447;100;39
236;437;248;107;97;49;124;252;54;91;430;106;47
222;465;221;91;87;44;121;246;48;71;456;94;32
236;469;238;85;72;42;109;248;50;79;454;93;32
234;468;245;94;86;41;105;217;51;82;455;78;36
245;462;245;84;79;34;116;240;52;80;448;81;32
231;450;228;95;90;51;115;242;51;82;439;89;45
246;450;263;88;89;49;125;242;50;86;443;91;41
246;459;237;90;86;48;104;222;49;80;449;92;36
245;442;242;87;78;45;121;250;55;86;436;100;48
226;437;232;90;75;53;117;264;52;68;431;102;35
236;441;254;99;85;54;121;243;45;92;426;98;43
244;447;245;79;79;45;121;244;54;86;432;104;38
242;441;241;92;88;52;145;245;49;89;431;116;41
255;463;247;92;81;49;119;219;49;85;456;88;39
244;450;244;96;89;46;119;240;60;83;442;83;44
241;461;238;91;86;47;108;238;45;87;446;92;38
239;447;246;92;83;42;113;230;52;91;446;94;39
235;475;237;84;88;39;112;226;54;73;459;79;37
240;438;237;86;92;48;133;248;55;86;420;113;44
228;453;236;95;95;46;125;240;43;80;439;97;42
246;450;255;84;82;45;115;233;52;100;444;88;42
226;449;233;99;82;43;127;252;52;84;438;93;48
236;455;236;90;78;38;139;234;55;76;440;101;37
230;452;243;85;81;40;124;254;48;79;442;99;43
233;452;238;96;82;45;129;230;49;85;441;79;37
235;444;237;93;87;48;118;254;47;85;435;100;49
246;461;244;97;93;47;115;239;52;93;443;80;47
245;471;242;91;81;46;109;231;46;70;449;85;41
212;439;234;94;86;43;125;254;53;86;431;112;47
243;468;235;80;89;38;105;242;48;79;449;87;37
250;453;237;94;82;48;113;238;48;87;434;96;36
250;467;258;86;91;42;90;237;43;84;453;83;39
240;462;230;102;85;47;122;241;53;85;442;94;34
227;476;247;82;88;40;119;243;43;81;468;79;40
229;457;234;92;79;40;124;226;47;84;450;95;42
252;467;242;87;92;42;115;215;45;76;452;87;38
233;431;242;100;93;54;127;247;61;85;419;104;42
228;438;233;93;87;37;117;250;53;76;424;99;45
242;455;258;86;80;40;117;249;49;88;445;95;39
262;458;254;81;78;35;105;233;55;80;449;100;38
224;459;240;83;81;47;122;237;46;75;444;97;34
245;456;229;91;86;49;112;236;50;83;454;87;36
256;453;266;84;76;40;131;241;50;81;437;95;39
243;456;250;78;83;41;127;252;44;68;442;99;33
233;456;257;84;80;33;122;242;54;83;442;100;41
253;445;262;86;80;41;114;246;52;73;441;98;46
260;444;271;92;89;44;117;233;57;88;437;84;39
233;441;237;90;82;40;136;253;57;82;430;106;39
239;465;244;95;81;49;124;246;50;83;456;91;35
241;449;260;91;83;45;110;237;32;74;446;85;27
262;456;237;86;76;40;114;223;52;80;442;89;43
260;450;255;94;100;41;119;232;47;89;436;98;36
244;458;241;85;86;42;115;226;58;83;442;84;39
233;452;221;82;82;38;112;258;56;75;438;107;45
249;453;243;88;88;39;122;235;49;89;442;92;39
230;465;224;79;92;43;112;244;47;77;455;93;38
241;465;243;81;71;43;110;240;52;82;450;91;36
250;464;247;76;79;31;105;249;58;90;453;89;36
236;439;244;102;86;48;122;244;54;88;425;103;45
255;447;259;99;97;55;118;242;51;93;443;97;44
243;448;258;85;87;39;123;225;54;78;435;89;34
234;457;242;103;90;50;117;237;46;74;445;101;28
232;450;235;86;81;40;126;255;55;85;434;100;50
240;449;248;90;91;50;122;235;42;89;434;86;43
253;457;253;88;86;40;122;230;56;83;448;92;37
242;454;242;88;90;48;123;247;47;72;444;91;36
223;460;230;67;66;34;117;246;57;75;453;93;38
234;446;252;84;80;44;125;251;52;90;436;96;41
236;431;239;92;84;43;124;257;60;86;431;107;42
225;468;231;88;88;45;113;242;49;70;458;88;37
221;463;226;86;77;38;112;249;51;70;446;97;38
234;447;253;99;94;48;125;226;50;79;442;93;39
229;452;243;88;86;39;131;247;55;82;445;92;33
246;468;239;85;85;45;116;247;54;67;450;85;33
238;457;258;91;84;55;107;245;52;84;450;91;34
240;458;245;91;79;44;124;233;56;85;437;100;45
244;471;250;85;82;39;108;234;49;84;462;89;34
245;445;238;88;73;43;117;245;64;85;425;99;45
243;465;243;87;84;48;113;250;35;72;447;90;32
245;447;257;80;79;36;127;244;53;85;438;90;40
248;452;247;93;92;42;124;248;51;82;430;100;37
245;446;250;91;87;47;120;244;56;96;431;101;40
240;453;240;86;69;47;122;251;50;77;447;97;33
244;443;232;87;82;39;124;258;48;84;431;106;38
243;458;235;86;83;39;122;248;42;82;448;91;39
239;469;257;77;74;38;114;241;52;82;458;85;45
240;445;239;93;94;48;123;258;52;89;436;89;43
241;444;240;103;102;56;116;236;49;79;431;99;42
230;458;237;89;78;43;130;247;46;70;443;97;44
251;442;248;95;93;45;115;227;57;76;429;89;42
233;468;231;85;80;46;112;239;45;76;455;92;36
243;446;241;97;85;42;129;239;55;87;436;100;40
243;442;239;88;75;50;115;243;48;82;434;102;40
236;437;248;92;85;46;124;250;57;82;425;108;47
240;441;231;88;83;48;129;241;55;97;432;103;42
245;466;240;71;74;37;113;238;48;76;455;92;42
249;445;259;85;84;41;111;236;50;74;441;90;35
246;432;240;96;85;44;120;247;54;81;422;97;37
242;466;236;89;78;46;113;245;50;80;452;97;34
224;472;227;85;83;40;107;245;42;80;462;90;30
236;459;242;78;84;31;129;236;46;75;449;94;43
250;453;243;82;87;42;124;247;47;90;443;102;33
239;451;240;82;73;39;121;254;43;88;441;102;40
241;451;243;86;85;45;125;235;50;82;444;100;38
238;448;242;94;82;44;125;242;52;77;436;99;39
232;458;237;79;82;42;126;251;48;71;443;92;34
248;463;239;75;79;36;104;225;51;77;454;90;37
246;444;239;93;85;49;121;260;59;87;433;102;45
248;451;252;95;84;46;113;252;38;87;446;88;31
239;459;245;82;83;48;120;250;53;84;441;96;35
241;441;229;103;90;49;127;247;44;84;432;106;38
226;432;242;105;96;44;128;257;66;84;416;110;41
250;453;242;93;87;43;124;229;56;85;435;93;37
239;458;236;79;73;37;114;253;52;85;447;103;33
238;448;229;95;92;45;121;244;56;74;440;103;39
244;453;232;82;84;35;121;245;49;75;439;108;33
226;463;219;94;81;48;116;232;51;71;444;94;34
246;449;241;79;79;41;122;237;57;84;438;97;36
245;474;254;80;73;33;135;257;54;76;448;105;41
225;449;236;93;79;49;115;248;47;80;437;98;31
220;450;227;83;75;43;134;234;49;86;445;107;45
238;451;234;101;89;49;113;243;54;76;436;106;31
247;459;234;89;88;40;102;254;46;75;451;101;39
248;460;237;94;89;47;112;236;61;81;438;96;40
232;467;251;79;87;40;109;242;53;78;456;92;35
240;441;244;96;96;52;121;249;58;88;428;96;46
227;446;233;80;92;45;125;248;38;74;437;93;33
226;457;228;93;85;40;117;238;49;78;443;90;37
232;457;223;93;85;46;117;249;53;73;446;97;34
245;441;242;94;92;46;116;249;63;87;437;97;38
239;460;229;94;94;56;124;241;53;74;443;96;41
217;452;231;93;87;46;122;255;53;82;444;101;45
248;447;257;84;75;48;127;257;41;91;441;105;37
237;452;241;84;83;46;133;232;46;75;447;88;32
250;440;268;91;96;49;118;243;49;92;431;108;43
230;467;242;76;76;29;112;244;51;77;454;91;39
245;446;238;93;84;47;127;241;54;89;427;106;36
258;451;251;98;89;37;108;245;46;91;439;95;30
259;454;253;92;85;48;123;243;56;80;441;87;33
234;449;236;93;83;48;114;244;48;83;444;103;42
241;454;232;96;90;45;124;255;52;76;440;105;40
227;458;242;93;89;41;111;228;43;72;448;85;33
225;454;241;86;76;42;111;241;38;85;444;100;28
235;439;231;99;95;58;125;239;53;83;427;99;30
227;469;239;85;81;43;126;255;47;79;459;102;32
232;469;221;87;71;42;112;233;43;77;460;88;35
248;465;232;88;90;43;124;248;45;77;459;88;33
245;451;247;92;86;42;123;235;52;87;439;99;43
228;454;234;93;87;44;111;235;55;90;442;80;44
237;448;234;105;87;52;117;250;48;76;431;108;35
214;442;239;88;83;49;108;261;48;72;433;115;32
247;454;243;92;88;50;109;239;53;73;437;101;34
249;442;263;92;85;41;121;225;53;87;438;100;38
225;448;235;76;84;40;122;247;44;82;441;98;39
240;459;235;96;80;46;118;231;54;86;447;91;43
243;445;244;94;95;52;113;243;57;83;428;90;38
227;456;247;84;80;38;130;245;62;81;450;107;42
221;456;219;82;73;46;117;246;57;68;454;94;39
275;446;250;97;87;55;116;238;51;87;431;100;33
232;470;251;91;76;48;108;249;43;75;466;87;34
240;454;235;91;93;48;115;250;53;85;440;92;40
233;451;229;95;90;49;127;250;44;72;443;100;38
236;450;242;86;88;39;121;238;54;94;442;100;51
236;457;224;91;86;48;121;253;47;64;447;90;34
231;447;244;82;80;42;133;244;42;80;441;100;35
234;455;255;97;83;51;110;239;46;88;451;91;38
227;461;241;89;89;42;102;245;43;74;449;90;38
247;445;237;77;75;35;130;237;53;89;435;91;46
246;457;240;83;76;43;123;242;38;86;443;90;33
237;453;244;89;82;44;114;252;54;84;446;95;41
229;449;221;89;79;43;122;249;54;75;441;103;40
258;430;238;94;98;48;134;235;56;96;420;95;46
246;463;246;85;75;37;116;240;47;75;448;98;37
245;459;237;85;86;42;110;246;54;85;439;95;45
232;446;237;94;95;39;123;250;53;82;435;99;43
229;460;224;80;70;41;112;249;49;75;451;102;34
251;448;253;85;94;43;118;229;51;97;439;83;38
239;444;262;87;82;39;132;254;57;92;435;96;41
255;447;255;100;83;50;128;251;47;84;431;96;31
235;454;237;93;87;53;120;247;45;73;447;93;40
237;455;234;100;79;50;112;233;50;79;446;96;34
249;438;251;95;87;52;123;245;56;91;426;97;40
244;464;254;93;89;50;120;243;41;86;451;86;37
219;448;228;109;96;51;130;241;51;77;433;103;36
240;433;256;93;84;48;122;254;63;85;421;97;38
244;460;239;86;86;45;117;232;54;86;438;107;33
245;440;239;110;106;56;130;242;49;87;424;108;51
255;447;250;80;71;44;135;250;53;81;439;101;36
229;447;238;91;89;44;111;254;46;79;448;101;35
236;455;228;93;82;47;127;243;52;82;432;102;40
234;461;254;92;81;41;108;241;44;98;443;90;38
223;455;227;91;79;45;121;255;56;75;446;94;37
249;448;254;92;75;44;127;256;52;94;435;105;47
229;442;239;89;75;40;122;243;55;90;444;107;52
234;456;230;81;84;42;104;232;46;87;457;90;39
237;437;235;91;83;49;130;249;58;74;436;100;46
231;442;237;85;74;45;132;257;56;75;433;106;45
221;460;235;85;76;48;118;245;39;76;450;96;35
254;448;239;92;84;51;127;219;51;96;440;96;50
238;448;242;89;85;41;110;237;52;84;436;94;42
233;450;223;90;86;41;121;230;62;80;440;99;43
233;458;226;89;91;48;111;242;47;93;448;94;40
232;444;243;99;83;50;116;239;45;88;439;106;39
232;450;250;100;89;44;113;239;54;82;443;101;33
253;448;246;87;85;48;120;241;45;85;436;99;42
215;454;233;91;80;45;129;251;49;70;445;102;35
221;447;227;95;93;40;128;243;58;80;438;100;43
240;460;242;78;67;30;116;258;41;79;450;98;32
236;458;237;85;83;44;107;255;47;82;443;84;34
253;436;247;93;95;46;114;239;65;93;424;105;51
250;438;249;91;80;44;127;240;59;86;428;101;42
239;435;233;99;99;45;128;251;50;89;422;114;42
246;464;249;79;93;38;109;237;51;81;450;89;38
232;465;240;76;74;39;98;232;52;75;453;93;40
247;452;254;76;82;41;136;241;60;85;450;91;40
225;468;230;99;80;50;108;232;46;63;453;85;26
244;452;241;96;87;45;123;235;50;86;442;95;44
247;445;240;105;97;47;110;239;52;89;428;101;36
256;454;246;85;85;45;119;246;57;80;440;89;43
258;461;247;88;91;46;120;241;48;92;443;88;37
214;461;221;96;73;56;115;265;44;68;438;102;31
245;446;249;88;96;43;131;251;52;101;442;92;45
229;460;230;91;85;47;125;251;46;76;447;101;30
229;455;249;86;82;40;113;243;39;81;454;92;35
246;447;252;94;89;45;126;235;65;83;438;92;45
236;434;243;103;98;49;118;251;46;83;424;96;38
225;454;230;96;89;47;120;237;47;81;443;90;42
221;457;235;94;82;42;118;232;53;73;442;90;37
240;452;241;93;75;46;112;237;43;83;446;89;36
225;451;225;96;93;41;106;240;49;80;437;94;36
245;457;248;86;92;44;121;229;44;87;444;87;34
241;445;252;94;82;51;131;241;41;88;440;97;41
251;433;243;100;101;53;138;241;50;90;418;100;42
238;444;243;90;86;53;118;244;51;71;432;99;31
251;460;247;95;82;47;118;234;48;72;453;94;39
255;452;244;89;85;47;117;244;46;77;436;92;37
234;454;249;85;72;50;117;239;51;81;436;90;39
246;431;250;102;99;47;136;226;50;94;427;96;43
257;461;231;89;75;52;116;229;49;80;439;101;32
221;472;221;84;78;37;104;267;49;68;462;94;30
237;460;227;87;88;39;130;249;49;78;443;94;40
243;447;229;100;98;44;127;247;54;76;438;101;38
234;454;255;95;92;41;129;237;54;85;440;93;39
238;447;227;100;95;45;119;239;52;87;437;95;44
255;459;251;78;72;34;112;244;41;82;450;80;36
254;437;246;95;99;54;130;252;59;90;420;101;47
243;455;244;84;69;38;111;251;44;84;442;110;30
252;441;258;100;90;52;125;245;54;89;435;99;37
227;450;246;82;94;41;112;255;48;85;445;109;44
269;449;267;85;91;45;127;232;53;96;442;92;42
226;461;243;83;84;49;110;228;48;80;441;92;36
233;461;242;79;87;35;104;219;52;83;448;82;37
235;454;231;101;86;50;131;240;40;84;447;95;40
230;445;246;100;90;54;121;244;55;89;439;100;41
250;454;253;94;92;40;122;239;58;93;432;87;45
241;450;249;98;99;46;113;231;47;87;441;96;39
235;452;244;104;92;49;121;231;54;92;444;88;42
243;444;247;95;92;42;120;238;48;80;431;93;34
245;449;245;95;91;45;111;226;59;87;432;93;46
239;436;246;101;95;54;124;248;49;83;425;106;44
234;446;256;110;91;47;130;238;49;94;443;86;40
221;448;227;85;78;41;125;255;55;81;435;91;36
229;455;240;91;81;49;105;248;51;72;451;96;37
257;462;237;86;83;41;111;239;51;93;446;86;40
247;433;237;98;90;46;127;237;53;95;422;104;39
218;452;234;92;83;38;130;275;53;79;438;94;32
250;437;241;84;85;37;132;232;57;77;428;102;36
246;456;243;89;88;41;130;235;44;82;448;98;43
234;447;256;81;74;46;118;251;50;90;438;93;41
248;451;227;84;84;41;116;246;43;76;446;101;36
245;456;248;97;90;42;113;235;42;91;437;86;46
229;448;242;100;94;56;121;237;41;84;429;99;27
238;467;238;81;81;37;121;240;51;67;457;95;36
245;459;250;94;90;44;116;238;49;86;451;73;37
244;438;253;96;87;46;116;245;41;89;429;99;38
252;440;254;93;83;43;132;242;62;86;425;94;48
256;442;255;93;74;45;113;241;45;80;434;88;27
251;454;254;73;77;37;107;228;42;92;443;89;39
229;444;237;85;81;45;123;238;52;89;433;107;40
251;452;243;84;79;42;104;240;53;73;438;98;37
247;444;250;93;86;40;125;238;54;87;434;93;40
251;441;248;96;97;38;135;227;53;92;428;94;40
234;446;235;95;94;50;118;247;49;81;430;107;34
239;451;242;88;78;39;109;234;49;85;437;94;37
230;439;226;87;94;47;122;251;52;82;425;103;47
225;458;231;95;86;43;122;249;48;78;447;91;43
245;436;254;101;91;45;129;247;50;86;428;111;44
246;450;258;85;92;48;112;229;45;87;442;86;33
230;444;249;92;79;46;123;250;53;85;438;110;39
228;458;225;89;84;47;121;250;47;81;443;97;38
221;447;228;94;74;51;131;260;51;68;431;114;40
256;445;250;89;84;48;121;244;55;86;430;110;48
223;445;221;87;93;44;133;262;55;71;424;94;40
241;451;246;92;99;49;117;241;47;81;439;99;45
230;447;218;92;88;46;123;249;49;90;432;91;38
237;435;245;96;92;45;138;247;54;94;422;98;46
250;450;239;83;79;45;121;233;56;83;439;85;40
230;456;231;88;85;38;118;258;55;84;445;95;48
239;451;245;87;80;46;132;239;53;71;444;88;49
244;464;249;90;81;39;117;224;42;71;460;93;33
248;447;268;93;82;47;105;233;47;84;431;92;55
260;453;277;95;89;52;127;249;56;83;441;93;34
242;461;239;92;84;41;118;232;50;77;450;79;43
222;445;238;88;74;42;126;259;66;86;440;107;37
250;440;251;90;92;45;137;238;53;92;428;103;40
255;464;247;88;84;45;104;250;42;80;451;97;37
246;446;252;87;92;44;127;245;58;81;442;91;49
220;457;232;86;79;46;112;263;45;81;443;101;35
222;447;240;94;88;51;126;255;56;74;441;109;37
234;456;224;87;81;35;120;245;41;75;446;92;29
244;438;236;87;89;52;119;247;52;78;434;108;36
235;449;232;89;87;50;125;244;55;88;437;95;49
253;439;246;90;92;43;124;240;47;94;426;103;48
230;460;238;87;83;42;123;262;52;79;453;98;39
250;454;244;99;100;51;121;220;48;89;445;100;43
243;451;240;92;86;45;129;238;35;82;447;90;40
210;441;219;89;92;46;131;252;62;74;436;105;44
248;464;248;90;79;53;113;251;44;80;441;90;30
253;456;258;90;89;37;121;230;55;80;444;87;33
250;453;248;82;85;40;114;223;60;88;450;93;41
240;454;237;87;76;43;127;251;50;76;434;100;40
248;459;255;97;87;47;118;240;61;83;455;84;42
235;464;248;83;79;45;109;236;59;79;451;95;44
243;455;258;90;102;44;131;240;48;92;447;91;41
246;456;251;93;94;52;108;232;59;89;451;86;44
237;445;225;92;79;38;123;260;55;78;434;101;34
241;451;259;89;94;48;117;242;44;87;441;90;43
261;448;250;95;89;43;131;238;53;96;425;103;38
256;448;251;87;91;43;124;229;51;93;436;99;40
246;456;244;84;78;39;112;228;44;77;451;94;29
239;454;236;75;70;34;122;258;60;89;430;103;45
237;449;247;92;86;39;127;255;50;82;431;105;37
242;460;251;88;84;46;115;251;43;87;455;93;37
261;432;252;100;92;51;145;233;54;100;431;91;40
241;450;244;100;89;49;115;250;53;82;440;108;39
228;460;233;89;83;43;110;241;47;69;439;99;33
240;440;243;93;95;44;122;258;52;67;434;103;30
263;459;247;85;88;40;119;231;44;82;444;88;41
248;461;230;94;89;44;110;218;44;81;448;83;37
244;471;247;82;76;39;94;236;54;83;460;86;38
239;453;253;88;77;43;134;243;51;82;443;91;34
239;454;226;102;97;55;131;245;55;78;445;92;44
255;458;249;88;72;46;116;240;61;78;439;91;43
236;463;228;103;88;46;107;241;47;65;441;85;32
244;458;249;104;99;50;118;239;49;87;444;95;38
252;469;234;90;93;46;116;228;48;87;449;83;39
234;449;254;94;89;48;114;246;50;70;439;97;39
239;448;241;88;85;50;132;247;54;84;436;100;41
241;448;250;86;80;40;126;255;49;80;440;105;28
235;460;219;78;78;41;116;240;49;72;451;97;42
236;449;256;91;83;46;127;233;55;88;440;95;45
245;443;248;89;85;43;133;246;53;92;425;117;39
251;452;236;86;74;43;119;251;53;79;438;102;41
243;448;247;93;85;45;128;226;57;81;440;90;45
245;471;258;76;79;30;118;238;45;80;462;81;34
256;448;252;83;86;37;123;241;54;93;434;100;45
239;443;245;84;77;48;131;235;49;84;428;99;38
244;452;262;91;78;45;121;237;47;84;444;87;40
227;466;231;92;81;48;110;243;50;71;448;98;28
240;436;241;101;88;49;115;254;51;81;424;108;36
238;454;245;91;98;45;136;254;41;79;445;92;42
250;442;261;90;87;45;112;246;44;82;434;99;30
248;452;253;95;90;49;114;234;53;81;432;93;37
234;449;256;95;86;46;117;242;52;80;443;99;35
240;452;248;91;92;43;123;236;42;88;440;91;37
246;453;243;78;89;42;129;240;59;80;446;109;38
242;451;247;98;81;47;132;250;48;78;436;102;36
241;455;233;89;88;36;114;225;50;82;448;82;35
241;457;250;81;83;46;116;258;47;83;442;93;38
241;453;243;87;86;45;112;235;43;68;443;93;29
252;453;249;86;90;37;136;249;58;86;445;97;42
250;448;244;93;91;47;133;249;46;91;434;103;44
244;456;225;99;90;49;127;240;52;75;435;91;40
256;458;247;102;93;41;127;235;63;98;446;82;50
252;445;247;92;77;39;126;243;51;85;427;100;40
222;445;226;96;81;47;122;246;55;81;436;99;40
229;444;241;94;85;54;121;257;45;78;427;96;33
244;434;246;91;85;50;122;247;57;81;429;113;41
231;456;251;91;83;46;125;240;43;84;449;106;40
